Apa Yang Dimaksud Dengan Inovasi Model Bisnis?,Management
Pendidikan Kewirausahaan dan Pandemi COVID-19: Implikasi terhadap Teknologi Pendidikan dan Cara Hidup,Management
Teori Kewirausahaan Emansipasi,Management
Inovasi Model Bisnis Berkelanjutan: Teknologi Gaya Hidup & Keberlanjutan,Management
Desa Wirausaha sebagai Eskalasi Ekonomi Desa berbasis Kewirausahaan,Management
Manajemen Sumber Daya Manusia,Management
COVID-19 dan Pendidikan Kewirausahaan: Implikasi terhadap Siswa,Management
PENERAPAN TEKNOLOGI ENERGI TERBARUKAN MELALUI MODEL SCIENCE TECHNO PARK DI DESA KIAMA KEPULAUAN TALAUD,Civil
Penerapan Teknologi Tepat Guna Berbasis Energi Terbarukan di desa Kiama Kabupaten Kepulauan Talaud,Civil
Pemanfaatan Teknologi Hammer Test dan Ultrasonic Pulse Velocity pada Pengujian Kualitas Mutu Elemen Struktur Bangunan Gedung,Civil
Kuat Tekan Kuat Lentur dan Daya Serap Air untuk Batako dengan Penambahan Serat Sabut Kelapa,Civil
Pengaruh Penambahan Limbah Kaca Terhadap Perilaku Mekanis Beton,Civil
Pengaruh pemanfaatan tailing terhadap kuat tekan porositas dan absorpsi mortar Portland Composite Cement,Civil
Pengaruh Penambahan Limbah Kaca Terhadap Perilaku Mekanis Beton,Civil
